Category,City,Country,Customer_ID,Customer_Name,Discount,Order_Date,Order_ID,Order_Priority,Product_ID,Product_Name,Profit,Quantity,Region,Segment,Ship_Date,Ship_Mode,Shipping_Cost,Sub_Category,weeknum
Office Supplies,Los Angeles,United States,LH-171554,Logan Haushalter,0.0,2012-06-19 00:00:00.000,CA-2012-121965,Medium,OFF-PA-10004355,Xerox 231,3.1104,1,West,Consumer,2012-06-23 00:00:00.000,Standard Class,0.52,Paper,25
Office Supplies,Los Angeles,United States,AR-105104,Andrew Roberts,0.0,2012-08-31 00:00:00.000,CA-2012-112319,High,OFF-PA-10003441,Xerox 226,27.9936,9,West,Consumer,2012-09-05 00:00:00.000,Standard Class,7.98,Paper,35
Office Supplies,Los Angeles,United States,NG-184304,Nathan Gelder,0.0,2012-11-22 00:00:00.000,CA-2012-137708,High,OFF-PA-10000176,Xerox 1887,18.2112,2,West,Consumer,2012-11-25 00:00:00.000,Second Class,3.9,Paper,47
Office Supplies,Los Angeles,United States,NG-184304,Nathan Gelder,0.0,2012-11-22 00:00:00.000,CA-2012-137708,High,OFF-PA-10000327,Xerox 1971,19.26,10,West,Consumer,2012-11-25 00:00:00.000,Second Class,6.15,Paper,47
Office Supplies,Los Angeles,United States,DP-130004,Darren Powers,0.0,2012-11-24 00:00:00.000,CA-2012-105347,Medium,OFF-PA-10000675,Xerox 1919,180.7659,9,West,Consumer,2012-11-28 00:00:00.000,Standard Class,6.98,Paper,47
Office Supplies,Los Angeles,United States,TS-213404,Toby Swindell,0.0,2012-11-24 00:00:00.000,CA-2012-153416,Medium,OFF-PA-10002005,Xerox 225,9.3312,3,West,Consumer,2012-11-29 00:00:00.000,Standard Class,1.68,Paper,47
Office Supplies,Los Angeles,United States,KM-167204,Kunst Miller,0.0,2012-11-24 00:00:00.000,CA-2012-135545,Medium,OFF-PA-10003892,Xerox 1943,68.9631,3,West,Consumer,2012-11-30 00:00:00.000,Standard Class,4.93,Paper,47
Office Supplies,Los Angeles,United States,AI-108554,Arianne Irving,0.0,2012-12-20 00:00:00.000,CA-2012-158918,Medium,OFF-PA-10004947,Staples,7.704,4,West,Consumer,2012-12-25 00:00:00.000,Second Class,1.31,Paper,51
Office Supplies,Los Angeles,United States,CL-125654,Clay Ludtke,0.0,2012-12-30 00:00:00.000,CA-2012-135580,Medium,OFF-PA-10000595,Xerox 1929,31.5192,3,West,Consumer,2013-01-03 00:00:00.000,Standard Class,6.36,Paper,53
Office Supplies,Los Angeles,United States,SW-202454,Scot Wooten,0.0,2013-03-13 00:00:00.000,US-2013-119270,Medium,OFF-PA-10004022,Hammermill Color Copier Paper (28Lb. and 96 Bright),8.991,2,West,Consumer,2013-03-17 00:00:00.000,Standard Class,1.3,Paper,11
Office Supplies,Los Angeles,United States,CC-122204,Chris Cortes,0.0,2013-03-29 00:00:00.000,CA-2013-131380,Critical,OFF-PA-10001243,Xerox 1983,2.9302,1,West,Consumer,2013-04-01 00:00:00.000,Second Class,1.82,Paper,13
Office Supplies,Los Angeles,United States,LC-171404,Logan Currie,0.0,2013-04-09 00:00:00.000,CA-2013-130477,High,OFF-PA-10002947,Xerox 1923,9.6192,3,West,Consumer,2013-04-13 00:00:00.000,Standard Class,2.92,Paper,15
Office Supplies,Los Angeles,United States,LC-171404,Logan Currie,0.0,2013-04-09 00:00:00.000,CA-2013-130477,High,OFF-PA-10000019,Xerox 1931,6.2208,2,West,Consumer,2013-04-13 00:00:00.000,Standard Class,2.28,Paper,15
Office Supplies,Los Angeles,United States,JF-152954,Jason Fortune-,0.0,2013-04-13 00:00:00.000,CA-2013-163594,Medium,OFF-PA-10000809,Xerox 206,9.3312,3,West,Consumer,2013-04-15 00:00:00.000,First Class,1.77,Paper,15
Office Supplies,Los Angeles,United States,JO-152804,Jas O'Carroll,0.0,2013-04-20 00:00:00.000,US-2013-115819,Medium,OFF-PA-10002377,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",10.224,4,West,Consumer,2013-04-25 00:00:00.000,Second Class,3.87,Paper,16
Office Supplies,Los Angeles,United States,TB-216254,Trudy Brown,0.0,2013-05-09 00:00:00.000,CA-2013-111696,High,OFF-PA-10002751,Xerox 1920,8.073,3,West,Consumer,2013-05-11 00:00:00.000,First Class,3.42,Paper,19
Office Supplies,Los Angeles,United States,TT-210704,Ted Trevino,0.0,2013-05-12 00:00:00.000,CA-2013-162733,Medium,OFF-PA-10002751,Xerox 1920,2.691,1,West,Consumer,2013-05-13 00:00:00.000,First Class,0.41,Paper,20
Office Supplies,Los Angeles,United States,DO-134354,Denny Ordway,0.0,2013-05-17 00:00:00.000,CA-2013-133144,Medium,OFF-PA-10004971,Xerox 196,8.4966,3,West,Consumer,2013-05-22 00:00:00.000,Second Class,1.82,Paper,20
Office Supplies,Los Angeles,United States,LS-172454,Lynn Smith,0.0,2013-05-28 00:00:00.000,CA-2013-136994,Medium,OFF-PA-10000575,"Wirebound Message Books, Four 2 3/4 x 5 White Forms per Page",6.1548,2,West,Consumer,2013-06-03 00:00:00.000,Standard Class,0.88,Paper,22
Office Supplies,Los Angeles,United States,CL-125654,Clay Ludtke,0.0,2013-05-29 00:00:00.000,CA-2013-134803,Low,OFF-PA-10003790,Xerox 1991,84.0512,8,West,Consumer,2013-06-04 00:00:00.000,Standard Class,17.93,Paper,22
Office Supplies,Los Angeles,United States,OT-187304,Olvera Toch,0.0,2013-06-11 00:00:00.000,CA-2013-113243,Medium,OFF-PA-10003441,Xerox 226,15.552,5,West,Consumer,2013-06-16 00:00:00.000,Standard Class,1.91,Paper,24
Office Supplies,Los Angeles,United States,BD-113204,Bill Donatelli,0.0,2013-06-17 00:00:00.000,CA-2013-148593,Medium,OFF-PA-10001776,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",21.7845,5,West,Consumer,2013-06-19 00:00:00.000,Second Class,1.14,Paper,25
Office Supplies,Los Angeles,United States,MV-181904,Mike Vittorini,0.0,2013-06-18 00:00:00.000,CA-2013-123512,Critical,OFF-PA-10001497,Xerox 1914,107.7216,4,West,Consumer,2013-06-20 00:00:00.000,First Class,74.66,Paper,25
Office Supplies,Los Angeles,United States,GT-147554,Guy Thornton,0.0,2013-07-04 00:00:00.000,CA-2013-130029,High,OFF-PA-10000552,Xerox 200,6.2208,2,West,Consumer,2013-07-07 00:00:00.000,First Class,1.62,Paper,27
Office Supplies,Los Angeles,United States,CC-123704,Christopher Conant,0.0,2013-07-08 00:00:00.000,CA-2013-135265,Critical,OFF-PA-10002923,Xerox 1942,24.47,1,West,Consumer,2013-07-10 00:00:00.000,Second Class,10.36,Paper,28
Office Supplies,Los Angeles,United States,JM-155804,Jill Matthias,0.0,2013-08-15 00:00:00.000,CA-2013-136021,High,OFF-PA-10000551,Array Memo Cubes,7.6146,3,West,Consumer,2013-08-19 00:00:00.000,Standard Class,2.15,Paper,33
Office Supplies,Los Angeles,United States,BD-113204,Bill Donatelli,0.0,2013-08-16 00:00:00.000,CA-2013-167241,Low,OFF-PA-10004911,"Rediform S.O.S. 1-Up Phone Message Bk, 4-1/4x3-1/16 Bk, 1 Form/Pg, 40 Messages/Bk, 3/Pk",18.0096,4,West,Consumer,2013-08-23 00:00:00.000,Standard Class,4.05,Paper,33
Office Supplies,Los Angeles,United States,PS-187604,Pamela Stobb,0.0,2013-09-30 00:00:00.000,US-2013-101497,High,OFF-PA-10000176,Xerox 1887,9.1056,1,West,Consumer,2013-10-02 00:00:00.000,Second Class,1.89,Paper,40
Office Supplies,Los Angeles,United States,CC-124754,Cindy Chapman,0.0,2013-10-08 00:00:00.000,CA-2013-155033,High,OFF-PA-10000143,Astroparche Fine Business Paper,5.0688,2,West,Consumer,2013-10-13 00:00:00.000,Standard Class,1.61,Paper,41
Office Supplies,Los Angeles,United States,JE-157454,Joel Eaton,0.0,2013-10-09 00:00:00.000,US-2013-162026,Critical,OFF-PA-10000167,Xerox 1925,27.882,2,West,Consumer,2013-10-09 00:00:00.000,Same Day,3.0,Paper,41
Office Supplies,Los Angeles,United States,XP-218654,Xylona Preis,0.0,2013-11-04 00:00:00.000,CA-2013-109365,Medium,OFF-PA-10004359,Multicolor Computer Printout Paper,150.984,3,West,Consumer,2013-11-09 00:00:00.000,Standard Class,22.15,Paper,45
Office Supplies,Los Angeles,United States,XP-218654,Xylona Preis,0.0,2013-11-04 00:00:00.000,CA-2013-109365,Medium,OFF-PA-10001725,Xerox 1892,56.9772,3,West,Consumer,2013-11-09 00:00:00.000,Standard Class,5.57,Paper,45
Office Supplies,Los Angeles,United States,XP-218654,Xylona Preis,0.0,2013-11-04 00:00:00.000,CA-2013-109365,Medium,OFF-PA-10000477,Xerox 22,9.3312,3,West,Consumer,2013-11-09 00:00:00.000,Standard Class,1.3,Paper,45
Office Supplies,Los Angeles,United States,AI-108554,Arianne Irving,0.0,2013-11-11 00:00:00.000,CA-2013-158694,High,OFF-PA-10002421,Embossed Ink Jet Note Cards,32.5008,3,West,Consumer,2013-11-14 00:00:00.000,Second Class,10.83,Paper,46
Office Supplies,Los Angeles,United States,AI-108554,Arianne Irving,0.0,2013-11-11 00:00:00.000,CA-2013-158694,High,OFF-PA-10001363,Xerox 1933,28.858,5,West,Consumer,2013-11-14 00:00:00.000,Second Class,8.68,Paper,46
Office Supplies,Los Angeles,United States,SO-203354,Sean O'Donnell,0.0,2014-01-15 00:00:00.000,CA-2014-149076,Medium,OFF-PA-10000483,Xerox 19,69.705,5,West,Consumer,2014-01-20 00:00:00.000,Standard Class,9.12,Paper,3
Office Supplies,Los Angeles,United States,CK-125954,Clytie Kelty,0.0,2014-02-24 00:00:00.000,CA-2014-104647,Medium,OFF-PA-10002870,"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 ¾” x 11”",16.848,6,West,Consumer,2014-03-02 00:00:00.000,Standard Class,3.82,Paper,9
Office Supplies,Los Angeles,United States,PS-187604,Pamela Stobb,0.0,2014-04-18 00:00:00.000,CA-2014-128965,Medium,OFF-PA-10004911,"Rediform S.O.S. 1-Up Phone Message Bk, 4-1/4x3-1/16 Bk, 1 Form/Pg, 40 Messages/Bk, 3/Pk",13.5072,3,West,Consumer,2014-04-23 00:00:00.000,Standard Class,2.84,Paper,16
Office Supplies,Los Angeles,United States,LL-168404,Lauren Leatherbury,0.0,2014-04-26 00:00:00.000,CA-2014-120222,Medium,OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",8.763,3,West,Consumer,2014-05-03 00:00:00.000,Standard Class,1.52,Paper,17
Office Supplies,Los Angeles,United States,DD-135704,Dorothy Dickinson,0.0,2014-05-03 00:00:00.000,CA-2014-147844,Medium,OFF-PA-10003016,"Adams ""While You Were Out"" Message Pads",7.065,5,West,Consumer,2014-05-07 00:00:00.000,Standard Class,0.93,Paper,18
Office Supplies,Los Angeles,United States,DD-135704,Dorothy Dickinson,0.0,2014-05-03 00:00:00.000,CA-2014-147844,Medium,OFF-PA-10002713,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",15.824,5,West,Consumer,2014-05-07 00:00:00.000,Standard Class,2.54,Paper,18
Office Supplies,Los Angeles,United States,DV-134654,Dianna Vittorini,0.0,2014-06-12 00:00:00.000,US-2014-152002,Medium,OFF-PA-10000357,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",60.2553,3,West,Consumer,2014-06-12 00:00:00.000,Same Day,23.65,Paper,24
Office Supplies,Los Angeles,United States,CC-126704,Craig Carreira,0.0,2014-06-19 00:00:00.000,CA-2014-112753,High,OFF-PA-10002036,Xerox 1930,19.0512,6,West,Consumer,2014-06-24 00:00:00.000,Standard Class,4.89,Paper,25
Office Supplies,Los Angeles,United States,TT-212204,Thomas Thornton,0.0,2014-07-01 00:00:00.000,US-2014-113201,Medium,OFF-PA-10000675,Xerox 1919,100.4255,5,West,Consumer,2014-07-06 00:00:00.000,Standard Class,14.98,Paper,27
Office Supplies,Los Angeles,United States,TB-215204,Tracy Blumstein,0.0,2014-07-24 00:00:00.000,CA-2014-133718,Critical,OFF-PA-10002689,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright),27.9936,9,West,Consumer,2014-07-27 00:00:00.000,First Class,7.82,Paper,30
Office Supplies,Los Angeles,United States,KT-164804,Kean Thornton,0.0,2014-08-21 00:00:00.000,CA-2014-105326,Medium,OFF-PA-10001639,Xerox 203,12.4416,4,West,Consumer,2014-08-28 00:00:00.000,Standard Class,1.27,Paper,34
Office Supplies,Los Angeles,United States,LC-170504,Liz Carlisle,0.0,2014-09-10 00:00:00.000,CA-2014-137498,Medium,OFF-PA-10000143,Astroparche Fine Business Paper,22.8096,9,West,Consumer,2014-09-15 00:00:00.000,Second Class,5.29,Paper,37
Office Supplies,Los Angeles,United States,JM-158654,John Murray,0.0,2014-09-13 00:00:00.000,US-2014-109582,Medium,OFF-PA-10004071,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",79.8912,3,West,Consumer,2014-09-18 00:00:00.000,Second Class,11.1,Paper,37
Office Supplies,Los Angeles,United States,DB-136604,Duane Benoit,0.0,2014-09-24 00:00:00.000,CA-2014-121853,Medium,OFF-PA-10003641,Xerox 1909,97.0784,8,West,Consumer,2014-09-30 00:00:00.000,Standard Class,15.64,Paper,39
Office Supplies,Los Angeles,United States,XP-218654,Xylona Preis,0.0,2014-10-10 00:00:00.000,US-2014-115595,Medium,OFF-PA-10001745,"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page",16.544,5,West,Consumer,2014-10-12 00:00:00.000,First Class,7.79,Paper,41
Office Supplies,Los Angeles,United States,GA-147254,Guy Armstrong,0.0,2014-11-12 00:00:00.000,CA-2014-110842,Medium,OFF-PA-10000520,Xerox 201,9.3312,3,West,Consumer,2014-11-17 00:00:00.000,Standard Class,1.43,Paper,46
Office Supplies,Los Angeles,United States,EP-139154,Emily Phan,0.0,2014-11-13 00:00:00.000,US-2014-125808,High,OFF-PA-10001846,Xerox 1899,5.6644,2,West,Consumer,2014-11-16 00:00:00.000,Second Class,1.71,Paper,46
Office Supplies,Los Angeles,United States,CC-125504,Clay Cheatham,0.0,2014-12-02 00:00:00.000,CA-2014-118542,Medium,OFF-PA-10004735,Xerox 1905,21.7728,7,West,Consumer,2014-12-06 00:00:00.000,Standard Class,3.56,Paper,49
Office Supplies,Los Angeles,United States,EP-139154,Emily Phan,0.0,2014-12-19 00:00:00.000,CA-2014-102099,Medium,OFF-PA-10003172,Xerox 1996,6.2208,2,West,Consumer,2014-12-20 00:00:00.000,First Class,0.94,Paper,51
Office Supplies,Los Angeles,United States,EP-139154,Emily Phan,0.0,2014-12-19 00:00:00.000,CA-2014-102099,Medium,OFF-PA-10000289,Xerox 213,15.552,5,West,Consumer,2014-12-20 00:00:00.000,First Class,1.09,Paper,51
Office Supplies,Los Angeles,United States,SR-207404,Steven Roelle,0.0,2011-02-21 00:00:00.000,CA-2011-164903,High,OFF-PA-10003363,Xerox 204,6.2208,2,West,Home Office,2011-02-25 00:00:00.000,Standard Class,1.14,Paper,9
Office Supplies,Los Angeles,United States,AY-105554,Andy Yotov,0.0,2011-04-06 00:00:00.000,CA-2011-102652,Medium,OFF-PA-10001977,Xerox 194,26.6304,1,West,Corporate,2011-04-12 00:00:00.000,Standard Class,2.28,Paper,15
Office Supplies,Los Angeles,United States,AY-105554,Andy Yotov,0.0,2011-04-06 00:00:00.000,CA-2011-102652,Medium,OFF-PA-10003309,Xerox 211,9.3312,3,West,Corporate,2011-04-12 00:00:00.000,Standard Class,2.11,Paper,15
Office Supplies,Los Angeles,United States,AH-100304,Aaron Hawkins,0.0,2011-05-13 00:00:00.000,CA-2011-113768,Medium,OFF-PA-10003063,EcoTones Memo Sheets,3.84,2,West,Corporate,2011-05-19 00:00:00.000,Standard Class,0.15,Paper,20
Office Supplies,Los Angeles,United States,VF-217154,Vicky Freymann,0.0,2011-07-25 00:00:00.000,CA-2011-146528,High,OFF-PA-10002195,Xerox 1966,3.1752,1,West,Home Office,2011-07-27 00:00:00.000,Second Class,0.79,Paper,31
Office Supplies,Los Angeles,United States,JM-152654,Janet Molinari,0.0,2011-08-25 00:00:00.000,CA-2011-104178,High,OFF-PA-10004983,Xerox 23,12.4416,4,West,Corporate,2011-08-29 00:00:00.000,Standard Class,3.11,Paper,35
Office Supplies,Los Angeles,United States,GG-146504,Greg Guthrie,0.0,2011-10-31 00:00:00.000,CA-2011-106439,High,OFF-PA-10000477,Xerox 1952,30.4278,13,West,Corporate,2011-11-04 00:00:00.000,Standard Class,6.72,Paper,45
Office Supplies,Los Angeles,United States,PL-189254,Paul Lucas,0.0,2011-11-01 00:00:00.000,CA-2011-168305,Medium,OFF-PA-10004947,Staples,9.63,5,West,Home Office,2011-11-08 00:00:00.000,Standard Class,0.92,Paper,45
Office Supplies,Los Angeles,United States,MA-175604,,0.0,2011-11-11 00:00:00.000,CA-2011-140732,High,OFF-PA-10003625,Xerox 1979,55.764,4,West,Home Office,2011-11-13 00:00:00.000,Second Class,27.69,Paper,46
Office Supplies,Los Angeles,United States,MC-181304,Mike Caudle,0.0,2012-03-19 00:00:00.000,CA-2012-163104,Medium,OFF-PA-10001947,Xerox 1974,5.8604,2,West,Corporate,2012-03-26 00:00:00.000,Standard Class,1.2,Paper,12
Office Supplies,Los Angeles,United States,AM-103604,Alice McCarthy,0.0,2012-03-23 00:00:00.000,US-2012-107944,High,OFF-PA-10000659,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",92.5056,11,West,Corporate,2012-03-25 00:00:00.000,First Class,27.31,Paper,12
Office Supplies,Los Angeles,United States,BP-110954,Bart Pistole,0.0,2012-03-23 00:00:00.000,CA-2012-138219,Medium,OFF-PA-10000380,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",16.68,4,West,Corporate,2012-03-30 00:00:00.000,Standard Class,2.16,Paper,12
Office Supplies,Los Angeles,United States,DE-132554,Deanra Eno,0.0,2012-04-18 00:00:00.000,CA-2012-142601,Medium,OFF-PA-10000483,Xerox 19,27.882,2,West,Home Office,2012-04-20 00:00:00.000,Second Class,8.38,Paper,16
Office Supplies,Los Angeles,United States,AJ-107804,Anthony Jacobs,0.0,2012-05-18 00:00:00.000,CA-2012-165554,Medium,OFF-PA-10003724,"Wirebound Message Book, 4 per Page",5.3214,2,West,Corporate,2012-05-22 00:00:00.000,Standard Class,1.0,Paper,20
Office Supplies,Los Angeles,United States,CG-120404,Catherine Glotzbach,0.0,2012-06-01 00:00:00.000,CA-2012-161242,Medium,OFF-PA-10001838,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",5.7624,2,West,Home Office,2012-06-08 00:00:00.000,Standard Class,0.82,Paper,22
Office Supplies,Los Angeles,United States,MO-178004,Meg O'Connel,0.0,2012-09-17 00:00:00.000,CA-2012-133025,Critical,OFF-PA-10004100,Xerox 216,15.552,5,West,Home Office,2012-09-19 00:00:00.000,Second Class,7.02,Paper,38
Office Supplies,Los Angeles,United States,RW-195404,Rick Wilson,0.0,2012-09-19 00:00:00.000,CA-2012-132815,High,OFF-PA-10004530,Personal Creations Ink Jet Cards and Labels,11.2504,2,West,Corporate,2012-09-22 00:00:00.000,Second Class,3.62,Paper,38
Office Supplies,Los Angeles,United States,YC-218954,Yoseph Carroll,0.0,2012-11-12 00:00:00.000,CA-2012-153220,High,OFF-PA-10003016,"Adams ""While You Were Out"" Message Pads",7.065,5,West,Corporate,2012-11-14 00:00:00.000,First Class,3.41,Paper,46
Office Supplies,Los Angeles,United States,SN-207104,Steve Nguyen,0.0,2012-11-27 00:00:00.000,CA-2012-125234,Medium,OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",53.4954,3,West,Home Office,2012-12-01 00:00:00.000,Standard Class,9.19,Paper,48
Office Supplies,Los Angeles,United States,DB-129703,Darren Budd,0.0,2012-12-14 00:00:00.000,CA-2012-141593,High,OFF-PA-10004983,Xerox 23,3.1104,1,West,Corporate,2012-12-16 00:00:00.000,Second Class,1.31,Paper,50
Office Supplies,Los Angeles,United States,SM-203204,Sean Miller,0.0,2012-12-25 00:00:00.000,CA-2012-144890,Medium,OFF-PA-10001526,Xerox 1949,4.8804,2,West,Home Office,2012-12-29 00:00:00.000,Standard Class,0.22,Paper,52
Office Supplies,Los Angeles,United States,SC-200504,Sample Company A,0.0,2013-01-31 00:00:00.000,CA-2013-129238,Medium,OFF-PA-10002764,Staples,27.783,5,West,Home Office,2013-02-04 00:00:00.000,Standard Class,4.73,Paper,5
Office Supplies,Los Angeles,United States,SM-209504,Suzanne McNair,0.0,2013-02-01 00:00:00.000,CA-2013-154067,Medium,OFF-PA-10002254,Xerox 1883,48.5392,4,West,Corporate,2013-02-07 00:00:00.000,Standard Class,8.11,Paper,5
Office Supplies,Los Angeles,United States,RD-198104,Ross DeVincentis,0.0,2013-02-13 00:00:00.000,CA-2013-112942,Medium,OFF-PA-10004092,Tops Green Bar Computer Printout Paper,73.41,3,West,Home Office,2013-02-18 00:00:00.000,Standard Class,8.08,Paper,7
Office Supplies,Los Angeles,United States,KF-162854,Karen Ferguson,0.0,2013-03-11 00:00:00.000,CA-2013-159016,High,OFF-PA-10004405,Rediform Voice Mail Log Books,7.152,5,West,Home Office,2013-03-12 00:00:00.000,First Class,2.67,Paper,11
Office Supplies,Los Angeles,United States,RS-194204,Ricardo Sperren,0.0,2013-05-10 00:00:00.000,US-2013-159093,Medium,OFF-PA-10001260,"TOPS Money Receipt Book, Consecutively Numbered in Red,",14.418,4,West,Corporate,2013-05-15 00:00:00.000,Standard Class,1.48,Paper,19
Office Supplies,Los Angeles,United States,NL-183104,Nancy Lomonaco,0.0,2013-05-31 00:00:00.000,CA-2013-147473,Medium,OFF-PA-10004782,Xerox 228,18.6624,6,West,Home Office,2013-06-04 00:00:00.000,Standard Class,2.81,Paper,22
Office Supplies,Los Angeles,United States,RB-197954,Ross Baird,0.0,2013-06-07 00:00:00.000,US-2013-155971,Medium,OFF-PA-10000210,Xerox Blank Computer Paper,46.953,5,West,Home Office,2013-06-13 00:00:00.000,Standard Class,4.9,Paper,23
Office Supplies,Los Angeles,United States,AH-100754,Adam Hart,0.0,2013-06-27 00:00:00.000,CA-2013-144015,Critical,OFF-PA-10002870,"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 ¾” x 11”",5.616,2,West,Corporate,2013-06-27 00:00:00.000,Same Day,2.73,Paper,26
Office Supplies,Los Angeles,United States,SC-202304,Scot Coram,0.0,2013-08-22 00:00:00.000,US-2013-126452,Low,OFF-PA-10002606,Xerox 1928,21.384,9,West,Corporate,2013-08-29 00:00:00.000,Standard Class,3.43,Paper,34
Office Supplies,Los Angeles,United States,SC-202304,Scot Coram,0.0,2013-08-22 00:00:00.000,US-2013-126452,Low,OFF-PA-10003848,Xerox 1997,6.2208,2,West,Corporate,2013-08-29 00:00:00.000,Standard Class,1.16,Paper,34
Office Supplies,Los Angeles,United States,JS-156854,Jim Sink,0.0,2013-09-18 00:00:00.000,CA-2013-109806,Medium,OFF-PA-10000304,Xerox 1995,3.1104,1,West,Corporate,2013-09-23 00:00:00.000,Standard Class,0.52,Paper,38
